Model,TBS1102C
Firmware Version,v1.29.30

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,8e-08
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-7.840e-06,0.25
-7.760e-06,0.25
-7.680e-06,0.25
-7.600e-06,0.248
-7.520e-06,0.246
-7.440e-06,0.246
-7.360e-06,0.244
-7.280e-06,0.244
-7.200e-06,0.244
-7.120e-06,0.244
-7.040e-06,0.244
-6.960e-06,0.244
-6.880e-06,0.242
-6.800e-06,0.242
-6.720e-06,0.24
-6.640e-06,0.24
-6.560e-06,0.236
-6.480e-06,0.236
-6.400e-06,0.234
-6.320e-06,0.232
-6.240e-06,0.23
-6.160e-06,0.226
-6.080e-06,0.222
-6.000e-06,0.218
-5.920e-06,0.216
-5.840e-06,0.21
-5.760e-06,0.208
-5.680e-06,0.204
-5.600e-06,0.202
-5.520e-06,0.2
-5.440e-06,0.198
-5.360e-06,0.194
-5.280e-06,0.192
-5.200e-06,0.19
-5.120e-06,0.188
-5.040e-06,0.186
-4.960e-06,0.184
-4.880e-06,0.184
-4.800e-06,0.182
-4.720e-06,0.18
-4.640e-06,0.178
-4.560e-06,0.178
-4.480e-06,0.178
-4.400e-06,0.176
-4.320e-06,0.176
-4.240e-06,0.178
-4.160e-06,0.178
-4.080e-06,0.178
-4.000e-06,0.178
-3.920e-06,0.178
-3.840e-06,0.176
-3.760e-06,0.176
-3.680e-06,0.176
-3.600e-06,0.176
-3.520e-06,0.176
-3.440e-06,0.176
-3.360e-06,0.174
-3.280e-06,0.174
-3.200e-06,0.174
-3.120e-06,0.174
-3.040e-06,0.174
-2.960e-06,0.172
-2.880e-06,0.172
-2.800e-06,0.174
-2.720e-06,0.174
-2.640e-06,0.172
-2.560e-06,0.174
-2.480e-06,0.174
-2.400e-06,0.174
-2.320e-06,0.174
-2.240e-06,0.176
-2.160e-06,0.174
-2.080e-06,0.174
-2.000e-06,0.174
-1.920e-06,0.176
-1.840e-06,0.172
-1.760e-06,0.174
-1.680e-06,0.174
-1.600e-06,0.172
-1.520e-06,0.174
-1.440e-06,0.172
-1.360e-06,0.17
-1.280e-06,0.17
-1.200e-06,0.17
-1.120e-06,0.174
-1.040e-06,0.17
-9.600e-07,0.166
-8.800e-07,0.17
-8.000e-07,0.17
-7.200e-07,0.166
-6.400e-07,0.166
-5.600e-07,0.166
-4.800e-07,0.166
-4.000e-07,0.168
-3.200e-07,0.166
-2.400e-07,0.166
-1.600e-07,0.166
-8.000e-08,0.162
-6.924e-19,0.158
8.000e-08,0.152
1.600e-07,0.146
2.400e-07,0.142
3.200e-07,0.14
4.000e-07,0.138
4.800e-07,0.132
5.600e-07,0.128
6.400e-07,0.124
7.200e-07,0.122
8.000e-07,0.118
8.800e-07,0.114
9.600e-07,0.112
1.040e-06,0.11
1.120e-06,0.108
1.200e-06,0.106
1.280e-06,0.104
1.360e-06,0.102
1.440e-06,0.102
1.520e-06,0.102
1.600e-06,0.104
1.680e-06,0.102
1.760e-06,0.102
1.840e-06,0.102
1.920e-06,0.102
2.000e-06,0.1
2.080e-06,0.1
2.160e-06,0.098
2.240e-06,0.1
2.320e-06,0.098
2.400e-06,0.098
2.480e-06,0.096
2.560e-06,0.098
2.640e-06,0.096
2.720e-06,0.096
2.800e-06,0.096
2.880e-06,0.094
2.960e-06,0.094
3.040e-06,0.094
3.120e-06,0.096
3.200e-06,0.096
3.280e-06,0.096
3.360e-06,0.094
3.440e-06,0.094
3.520e-06,0.096
3.600e-06,0.094
3.680e-06,0.096
3.760e-06,0.094
3.840e-06,0.094
3.920e-06,0.094
4.000e-06,0.094
4.080e-06,0.094
4.160e-06,0.094
4.240e-06,0.094
4.320e-06,0.094
4.400e-06,0.094
4.480e-06,0.096
4.560e-06,0.096
4.640e-06,0.094
4.720e-06,0.094
4.800e-06,0.092
